xo,Expiration Date,Current version,Description,How to rotate,used?,Rotated?,
,,,,,,JIRA Tracker,
stonesoup,,,,,,,
staging/release/iib/iib-service-account,,,keytab key with value keytab encoded file?,"- request new ServiceAccount (new numbered suffix) and keytab via service-now (see form).  
- Create MR to update this section. 
- Once MR is merged, update app-interface with a MR. 
- Then create new SNow ticket (same  form) asking to delete old Service Account.",app-interface as secret iib-service-account (staging),new,TRUE
staging/release/gitlab/gitlab.cee/file-updates-secret,,3,used for creating MRs in https://gitlab.cee.redhat.com/hacbs-release-tests/app-interface.git ,"- Goto https://gitlab.cee.redhat.com/hacbs-release-tests/app-interface/-/settings/access_tokens. 
- Note the Scopes. 
- Create new token with required scopes.",app-interface as secret file-updates-secret ,RHTAPREL-682,TRUE
staging/release/gitlab/gitlab.cee/managed-tenants,,3,used for creating MRs in https://gitlab.cee.redhat.com/rhtap-release/managed-tenants-stage,"- Goto https://gitlab.cee.redhat.com/groups/rhtap-release/-/settings/access_tokens and see the stage-konflux-release-addons token. 
- Note the Scopes. 
- Click rotate and copy the secret.",Internal stage cluster as managed-tenants-file-updates-stage-secret,RHTAPREL-682,TRUE
staging/release/logging/splunk-application-forwarder,,1,will be used to forward pipeline logs from internal services to splunk,,not used,RHTAPREL-709,TRUE
staging/release/quay/hacbs-release-tests_iib-pub,,1,quay robot token and username (hacbs-release-tests+rhtap_fbc_release_dev) to push index images.,Create new robot account in quay (add increasing suffix),Secret is used in app-interface as iib-overwrite-fromimage-credentials,RHTAPREL-685,TRUE
staging/release/quay/redhat-dev+rhtap_release_integration,,,quay robot token and username (redhat-dev+rhtap_release_integration) to push index images.,Contact Tim Waugh to request rotation (using RHTAP - SP Robot Rotation ),not used,RHTAPREL-694,TRUE
staging/release/quay/redhat-pending,,1,quay robot token and username (redhat-pending+fbc),Contact Tim Waugh to request rotation (using RHTAP - SP Robot Rotation ),not used,RHTAPREL-696,TRUE
staging/release/quay/redhat-pending+rhtap_release_integration,,,quay robot token and username (redhat-pending+rhtap_release_integration),Contact Tim Waugh to request rotation (using RHTAP - SP Robot Rotation ),not used,RHTAPREL-695,TRUE
staging/release/quay/rh-osbs__iib-pub-pending,,1,quay robot token and username (rh-osbs+rhtap_iib),Contact Tim Waugh to request rotation (using RHTAP - SP Robot Rotation ),not used,RHTAPREL-702,TRUE
staging/release/radas_signing,Deleted - see RELEASE-2005,1,private key and cert for radas signing,"See Pyxis access request and https://issues.redhat.com/browse/RHTAPREL-627
- Use service-account-credentials found as key in Vault.
- Once new certificate created and it should be added to Vault as new version
- It should then be propagated to RemoteSecrets (See Adding a Secret to a Managed Workspace on how to update)
- The old certificate needs to be revoked.
- Determine the serial number:
openssl x509 -in hacbs-release-pyxis.crt -noout -text | grep 'Serial Number'
- Note the item in brackets (0xffe15d7)

- Go to https://redhat.service-now.com/ and click Support Services at the top right corner, or go directly to https://redhat.service-now.com/help?id=rh_service_catalog
- Then click Request General Support at the bottom left. 
- Select IT.
Is there a service degradation? No
Select the app: RHCS
Are you requesting something new? New

- Enter the following as the body:

Please revoke the following certificates.
- 0xffe15d7 (<- change this)",app-interface as secret hacbs-signing-pipeline-certs,RHTAPREL-705,TRUE
staging/release/registry-io-pull,,1,dockerconfigjson secret to allow pulling from registry.redhat.io,"- Regenerate token at https://access.redhat.com/terms-based-registry/token/stonesoup . 
- Then goto the Openshift Secret tab.
- Copy the  .dockerconfigjson value. Update vault.",used on staging cluster in dev-release-team-tenant,RHTAPREL-686,TRUE
,,,,,,,
production/release/fbc/publishing-credentials,,1,"sourceIndexCredential with value rh-osbs+rhtap_fbc_release_prod:<token>
targetIndexCredential with value redhat+rhtap_fbc_release_prod:<token>",Contact Tim Waugh to request rotation (using RHTAP - SP Robot Rotation ),app-interface as secret fbc-production-publishing-credentials,RHTAPREL-700,TRUE
production/release/fbc/publishing-credentials-redhat-prod,,1,"sourceIndexCredential with value rh-osbs+rhtap_fbc_release_prod:<token>
targetIndexCredential with value redhat-prod+rhtap_releng:<token>",Contact Tim Waugh to request rotation (using RHTAP - SP Robot Rotation ),app-interface as secret fbc-production-publishing-credentials-redhat-prod,,FALSE
production/release/gitlab/gitlab.cee/file-updates-secret,,2,used for creating MRs in https://gitlab.cee.redhat.com/rhtap-release/app-interface.git,"- Goto https://gitlab.cee.redhat.com/rhtap-release/app-interface/-/settings/access_tokens.
- Note the Scopes.
- Create new token with required scopes.",app-interface as secret file-updates-secret,RHTAPREL-687,TRUE
production/release/gitlab/gitlab.cee/managed-tenants,,,used for creating MRs in https://gitlab.cee.redhat.com/service/managed-tenants,"- Login using LDAP account konflux-release-gitlab-bot
- Goto https://gitlab.cee.redhat.com/-/user_settings/personal_access_tokens
- Note the Scopes.
- Create new token with required scopes.",app-interface as secret managed-tenants-file-updates-prod-secret,new,FALSE
